PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Guzzo, RM; Gibson, J; Xu, RH; Lee, FY; Drissi, H				Guzzo, Rosa M.; Gibson, Jason; Xu, Ren-He; Lee, Francis Y.; Drissi, Hicham			Efficient differentiation of human iPSC-derived mesenchymal stem cells to chondroprogenitor cells	JOURNAL OF CELLULAR BIOCHEMISTRY												Induced pluripotent stem cells (iPSC) hold tremendous potential for personalized cell-based repair strategies to treat musculoskeletal disorders. To establish human iPSCs as a potential source of viable chondroprogenitors for articular cartilage repair, we assessed the in vitro chondrogenic potential of the pluripotent population versus an iPSC-derived mesenchymal-like progenitor population. We found the direct plating of undifferentiated iPSCs into high-density micromass cultures in the presence of BMP-2 promoted chondrogenic differentiation, however these conditions resulted in a mixed population of cells resembling the phenotype of articular cartilage, transient cartilage, and fibrocartilage. The progenitor cells derived from human iPSCs exhibited immunophenotypic features of mesenchymal stem cells (MSCs) and developed along multiple mesenchymal lineages, including osteoblasts, adipocytes, and chondrocytes in vitro. The data indicate the derivation of a mesenchymal stem cell population from human iPSCs is necessary to limit culture heterogeneity as well as chondrocyte maturation in the differentiated progeny. Moreover, as compared to pellet culture differentiation, BMP-2 treatment of iPSC-derived MSC-like (iPSCMSC) micromass cultures resulted in a phenotype more typical of articular chondrocytes, characterized by the enrichment of cartilage-specific type II collagen (Col2a1), decreased expression of type I collagen (Col1a1) as well as lack of chondrocyte hypertrophy. These studies represent a first step toward identifying the most suitable iPSC progeny for developing cell-based approaches to repair joint cartilage damage. J. Cell. Biochem. 114: 480490, 2013. (c) 2012 Wiley Periodicals, Inc.				Xu, Ren-He/M-3125-2016; Xu, Ren-He/AAK-7392-2021													0730-2312					FEB	2013	114	2					480	490		10.1002/jcb.24388							WOS:000312651400025	22961870					
J	Goodrich, AD; Hematti, P				Goodrich, Angelina Daisy; Hematti, Peiman			Mesenchymal stem cell therapies: the quest for fine-tuning	EXPERIMENTAL DERMATOLOGY												Mesenchymal stem cells (MSCs) have a vastly unharnessed therapeutic potential with close to 400 studies currently registered on clinicaltrials.gov for evaluation of their clinical promises. While many of these investigations are for immune-mediated disorders, there is no established consensus on how to optimize the immunomodulatory properties of MSCs. Factors that could be used to predict efficacy of MSC therapies include donor heterogeneity, recipient environment and drug interactions. Incorporating pertinent quality control parameters to maximize the clinical potential of MSCs through good manufacturing practice (GMP) production of clinical grade cells could lead to the realization of greater therapeutic success.																	0906-6705	1600-0625				SEP	2014	23	9					632	633		10.1111/exd.12432							WOS:000342132800006	24806552					
S	Hatina, J; Kripnerova, M; Houfkova, K; Pesta, M; Kuncova, J; Sana, J; Slaby, O; Rodriguez, R		Birbrair, A		Hatina, Jiri; Kripnerova, Michaela; Houfkova, Katerina; Pesta, Martin; Kuncova, Jitka; Sana, Jiri; Slaby, Ondrej; Rodriguez, Rene			Sarcoma Stem Cell Heterogeneity	STEM CELLS HETEROGENEITY - NOVEL CONCEPTS	Advances in Experimental Medicine and Biology											Sarcomas represent an extensive group of divergent malignant diseases, with the only common characteristic of being derived from mesenchymal cells. As such, sarcomas are by definition very heterogeneous, and this heterogeneity does not manifest only upon intertumoral comparison on a bulk tumor level but can be extended to intratumoral level. Whereas part of this intratumoral heterogeneity could be understood in terms of clonal genetic evolution, an essential part includes a hierarchical relationship between sarcoma cells, governed by both genetic and epigenetic influences, signals that sarcoma cells are exposed to, and intrinsic developmental programs derived from sarcoma cells of origin. The notion of this functional hierarchy operating within each tumor implies the existence of sarcoma stem cells, which may originate from mesenchymal stem cells, and indeed, mesenchymal stem cells have been used to establish several crucial experimental sarcoma models and to trace down their respective stem cell populations. Mesenchymal stem cells themselves are heterogeneous, and, moreover, there are alternative possibilities for sarcoma cells of origin, like neural crest-derived stem cells, or mesenchymal committed precursor cells, or - in rhabdomyosarcoma - muscle satellite cells. These various origins result in substantial heterogeneity in possible sarcoma initiation. Genetic and epigenetic changes associated with sarcomagenesis profoundly impact the biology of sarcoma stem cells. For pediatric sarcomas featuring discrete reciprocal translocations and largely stable karyotypes, the translocation- activated - oncogenes could be crucial factors that confer stemness, principally by modifying transcriptome and interfering with normal epigenetic regulation; the most extensively studied examples of this process are myxoid/round cell liposarcoma, Ewing sarcoma, and synovial sarcoma. For adult sarcomas, which have typically complex and unstable karyotypes, stemness might be defined more operationally, as a reflection of actual assembly of genetically and epigenetically conditioned stemness factors, with dedifferentiated liposarcoma providing a most thoroughly studied example. Alternatively, stemness can be imposed by tumor microenvironment, as extensively documented in osteosarcoma. In spite of this heterogeneity in both sarcoma initiation and underlying stemness biology, some of the molecular mechanisms of stemness might be remarkably similar in diverse sarcoma types, like abrogation of classical tumor suppressors pRb and p53, activation of Sox-2, or inhibition of canonical Wnt/beta-catenin signaling. Moreover, even some stem cell markers initially characterized for their stem cell enrichment capacity in various carcinomas or leukemias seem to function quite similarly in various sarcomas. Understanding the biology of sarcoma stem cells could significantly improve sarcoma patient clinical care, leading to both better patient stratification and, hopefully, development of more effective therapeutic options.				Rodriguez, Rene/P-2168-2018	Rodriguez, Rene/0000-0002-0768-7306												0065-2598	2214-8019	978-3-030-11096-3; 978-3-030-11095-6				2019	1123						95	118		10.1007/978-3-030-11096-3_7	10.1007/978-3-030-11096-3						WOS:000471743600008	31016597					
J	Wang, YH; Tao, YC; Wu, DB; Wang, ML; Tang, H; Chen, EQ				Wang, Yong-Hong; Tao, Ya-Chao; Wu, Dong-Bo; Wang, Meng-Lan; Tang, Hong; Chen, En-Qiang			Cell heterogeneity, rather than the cell storage solution, affects the behavior of mesenchymal stem cells in vitro and in vivo	STEM CELL RESEARCH & THERAPY												Background Mesenchymal stem cells (MSCs) have to be expanded in vitro to reach a sufficient cell dose for the treatment of various diseases. During the process of expansion, some obstacles remain to be overcome. The purpose of this study was to investigate the effects of storage solutions and heterogeneity on the behavior of MSCs in vitro and in vivo. Methods Umbilical cord MSCs (UC-MSCs) of similar sizes within normal ranges were suspended in three different storage solutions, phosphate buffer solution, normal saline, and Dulbecco's modified Eagle medium. Then, the ultrastructure, viability, and safety of these cells were compared. Other two UC-MSC populations of different sizes were categorized based on their mean diameters. The ultrastructure, proliferation, immunosuppression, hepatic differentiation potential, and number of senescent cells were investigated and compared. The survival rates of mice after the infusion of UC-MSCs of different sizes were compared. Results For UC-MSCs suspended in different storage solutions, the cell apoptosis rates, ultrastructure, and survival rates of mice were similar, and no differences were observed. Cells with a diameter of 19.14 +/- 4.89 mu m were categorized as the larger UC-MSC population, and cells with a diameter of 15.58 +/- 3.81 mu m were categorized as the smaller population. The mean diameter of the larger UC-MSC population was significantly larger than that of the smaller UC-MSC population (p < 0.01). Smaller UC-MSCs had more powerful proliferation and immunosuppressive potential and a higher nucleus-cytoplasm ratio than those of large UC-MSCs. The number of cells positive for beta-galactosidase staining was higher in the larger UC-MSC population than in the smaller UC-MSC population. The survival rates of mice receiving 1 x 10(6) or 2 x 10(6) smaller UC-MSCs were 100%, both of which were higher than those of mice receiving the same amounts of larger UC-MSCs (p < 0.01). The cause of mouse death was explored and it was found that some larger UC-MSCs accumulated in the pulmonary capillary in dead mice. Conclusion Different storage solutions showed no significant effects on cell behavior, whereas heterogeneity was quite prevalent in MSC populations and might limit cells application. Hence, it is necessary to establish a more precise standardization for culture-expanded MSCs.																		1757-6512				JUL 13	2021	12	1							391	10.1186/s13287-021-02450-2							WOS:000675242000001	34256842					
S	Lyons, FG; Mattei, TA		Birbrair, A		Lyons, Frank G.; Mattei, Tobias A.			Sources, Identification, and Clinical Implications of Heterogeneity in Human Umbilical Cord Stem Cells	STEM CELLS HETEROGENEITY IN DIFFERENT ORGANS	Advances in Experimental Medicine and Biology											Heterogeneity among different subpopulations of human umbilical cord mesenchymal stem cell (hUCMSCs) lines is an ubiquitous phenomenon, with such variability being related to several factors including the identity of the individual donor, tissue source (Wharton's jelly vs. umbilical cord blood), culture conditions, as well as random variations in the cloning expansion process. In this chapter, we provide a general overview on the sources as well as available experimental techniques for proper identification of heterogeneity in hUCMSCs. Finally, we provide a brief discussion on the current scientific evidence regarding the potential superiority of subpopulations of hUCMSCs for specific clinical applications. Taking into account the exponential growth on the available experimental data on hUCMSCs in the past few years, this chapter is not intended to be comprehensive in nature, but rather is intended to provide a general overview about the central role which the topic of heterogeneity has in both basic science and clinical research in umbilical cord stem cells.																	0065-2598	2214-8019	978-3-030-24108-7; 978-3-030-24107-0				2019	1169						243	256		10.1007/978-3-030-24108-7_13	10.1007/978-3-030-24108-7						WOS:000514284100014	31487028					
J	Phinney, DG				Phinney, Donald G.			Biochemical heterogeneity of mesenchymal stem cell populations - Clues to their therapeutic efficacy	CELL CYCLE												Mesenchymal stem cells (MSCs) were initially identified by their capacity to differentiate into connective tissue cell types. In the past decade MSCs were also shown to exhibit unexpected plasticity, which was thought to account for their broad therapeutic efficacy in animal models of disease and human clinical trials. More recent evidence indicates that their capacity to alter the microenvironment via secretion of soluble factors contributes more significantly than their plasticity in effecting tissue repair. However, the production by MSCs of a diverse array of trophic factors is inconsistent with their designation as stem cells, which by definition lie at the apex of a hierarchy of cellular differentiation and lineage specification. Analysis of the MSC transcriptome has led to the identification of sub populations that express a variety of regulatory proteins that function in angiogenesis, hematopoiesis, neural activities, and immunity and defense. These activities reflect the varied functions of distinct stromal subtypes in marrow that play important roles in tissue homeostasis. Evidence is provided that the biochemical heterogeneity of these subpopulations contributes more significantly to the therapeutic potential of MSCs than their stem-like characteristics.				Phinney, Donald G/D-2155-2014	Phinney, Donald/0000-0002-8688-2619												1538-4101	1551-4005				DEC 1	2007	6	23					2884	2889		10.4161/cc.6.23.5095							WOS:000252876700005	18000405					
J	Han, ZC; Du, WJ; Han, ZB; Liang, L				Han, Z. C.; Du, W. J.; Han, Z. B.; Liang, L.			New insights into the heterogeneity and functional diversity of human mesenchymal stem cells	BIO-MEDICAL MATERIALS AND ENGINEERING					6th China-France International Symposium on Stem Cells and Regenerative Medicine / 1st Meeting of the France-China International CNRS Network (GDRI)	JUL 10-13, 2016	Nancy, FRANCE	France China Int CNRS Network, CeSMeR				Mesenchymal stem cells (MSCs) are being tested in several biological systems and clinical settings with the aim of exploring their therapeutic potentials for a variety of diseases. MSCs are also known to be heterogeneous populations with variable functions. In the context of this multidimensional complexity, a recurrent question is what source or population of MSCs is suitable for specific clinical indications. Here, we reported that the biological features of MSCs varied with the individual donor, the tissue source, the culture condition and the subpopulations. Placental chorionic villi (CV) derived MSCs exhibited superior activities of immunomodulation and pro-angiogenesis compared to MSCs derived from bone marrow (BM), adipose and umbilical cord (UC). We identified a subpopulation of CD106(VCAM-1)(+) MSCs, which are present richly in placental CV, moderately in BM, and lowly in adipose and UC. The CD106(+) MSCs possess significantly increased immunomodutory and pro-angiogenic activities compared to CD106(-)MSCs. Analysis of gene expression and cytokine secretion revealed that CD106(+) MSCs highly expressed several immnumodulatory and pro-angiogenic cytokines. Our data offer new insights on the identification and selection of suitable source or population of MSCs for clinical applications. Further efforts should be concentrated on standardizing methods which will ultimately allow the validation of MSC products with defined biomarkers as predictive of potency in suitable pre-clinical models and clinical settings.																	0959-2989	1878-3619					2017	28			1			S29	S45		10.3233/BME-171622							WOS:000416685800005	28372276					
J	He, XH; Li, BS; Shao, Y; Zhao, N; Hsu, YL; Zhang, ZX; Zhu, LW				He, Xianghui; Li, Baosong; Shao, Yang; Zhao, Na; Hsu, Yiling; Zhang, Zhixiang; Zhu, Liwei			Cell fusion between gastric epithelial cells and mesenchymal stem cells results in epithelial-to-mesenchymal transition and malignant transformation	BMC CANCER												Background: The discovery of cancer stem cells and tumor heterogeneity prompted the exploration of additional mechanisms aside from genetic mutations for carcinogenesis and cancer progression. The aim of the present study was to investigate the effect of cell fusion between mesenchymal stem cells and the gastric epithelial cells in tumorigenesis. Methods: Cell fusion between cord blood mesenchymal stem cells and human gastric epithelial cells was performed in vitro. Cell scratch and transwell assays were performed to determine migration and invasion abilities of the hybrids. The expressions of epithelial-mesenchymal transition-related proteins and genes were analyzed by immunocytochemistry and real time quantitative PCR. Tumorigenesis of the hybrids was evaluated through in vivo inoculation in nude mice. Results: Hybrids expressed the phenotypes of both donor cells. Aneuploidy was observed in 84.1% of cells. The hybrids showed increased proliferation, migration and invasion abilities compared with the parental cells. In addition, the expression of N-cadherin and vimentin in the hybrids was significantly higher than that of the epithelial cells, and the mRNA expression of the epithelial-mesenchymal transition-related genes, Twist and Slug, in the hybrids was also increased compared with that of the parental epithelial cells. Furthermore, the hybrids formed masses of epithelial origin with glandular structures in BALB/c nude mice. Conclusions: These findings suggest that cell fusion between gastric epithelial cells and mesenchymal stem cells may result in epithelial to mesenchymal transition and malignant transformation.																	1471-2407					JAN 30	2015	15								24	10.1186/s12885-015-1027-1							WOS:000348813300001	25633122					
J	Zhang, J; Chen, MZ; Liao, JQ; Chang, CF; Liu, YQ; Padhiar, AA; Zhou, Y; Zhou, GQ				Zhang, Juan; Chen, Mingzhuang; Liao, Jinqi; Chang, Chongfei; Liu, Yuqing; Padhiar, Arshad Ahmed; Zhou, Yan; Zhou, Guangqian			Induced Pluripotent Stem Cell-Derived Mesenchymal Stem Cells Hold Lower Heterogeneity and Great Promise in Biological Research and Clinical Applications	FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY												Mesenchymal stem cells (MSC) isolated from different tissue sources exhibit multiple biological effects and have shown promising therapeutic effects in a broad range of diseases. In order to fulfill their clinical applications in context of precision medicine, however, more detailed molecular characterization of diverse subgroups and standardized scalable production of certain functional subgroups would be highly desired. Thus far, the generation of induced pluripotent stem cell (iPSC)-derived MSC (iMSC) seems to provide the unique opportunity to solve most obstacles that currently exist to prevent the broad application of MSC as an advanced medicinal product. The features of iMSC include their single cell clone origins, and defined and controllable cultural conditions for their derivation and proliferation. Still, comprehensive research of the molecular and functional heterogeneity of iMSC, just like MSC from any other tissue types, would be required. Furthered on previous efforts on iMSC differentiation and expansion platform and transcriptomic studies, advantages of single cell multi-omics analysis and other up-to-dated technologies would be taken in order to elucidate the molecular origin and regulation of heterogeneity and to obtain iMSC subgroups homogeneous enough for particular clinical conditions. In this perspective, the current obstacles in MSC applications, the advantages of iMSC over MSC and their implications for biological research and clinical applications will be discussed.</p>																	2296-634X					SEP 30	2021	9								716907	10.3389/fcell.2021.716907							WOS:000707757000001	34660579					
J	Qu, RM; He, K; Fan, TY; Yang, YC; Mai, LY; Lian, ZW; Zhou, ZT; Peng, Y; Khan, AU; Sun, B; Huang, XL; Ouyang, J; Pan, XH; Dai, JX; Huang, WH				Qu, Rongmei; He, Kai; Fan, Tingyu; Yang, Yuchao; Mai, Liyao; Lian, Zhiwei; Zhou, Zhitao; Peng, Yan; Khan, Asmat Ullah; Sun, Bing; Huang, Xiaolan; Ouyang, Jun; Pan, Xinghua; Dai, Jingxing; Huang, Wenhua			Single-cell transcriptomic sequencing analyses of cell heterogeneity during osteogenesis of human adipose-derived mesenchymal stem cells	STEM CELLS												Mesenchymal stem cells (MSCs) are known for their multilineage differentiation potential with immune-modulatory properties. The molecular underpinnings of differentiation remain largely undefined. In this study, we investigated the cellular and molecular features of chemically induced osteogenesis from MSC isolated from human adipose tissue (human adipose MSCs, hAMSCs) using single-cell RNA-sequencing (scRNA-seq). We found that a near complete differentiation of osteogenic clusters from hAMSCs under a directional induction. Both groups of cells are heterogeneous, and some of the hAMSCs cells are intrinsically prepared for osteogenesis, while variant OS clusters seems in cooperation with a due division of the general function. We identified a set of genes related to cell stress response highly expressed during the differentiation. We also characterized a series of transitional transcriptional waves throughout the process from hAMSCs to osteoblast and specified the unique gene networks and epigenetic status as key markers of osteogenesis.					pan, xinghua/0000-0002-7421-8155												1066-5099	1549-4918				NOV	2021	39	11					1478	1488		10.1002/stem.3442		AUG 2021					WOS:000685681200001	34346140					
J	Dominici, M; Paolucci, P; Conte, P; Horwitz, EM				Dominici, Massimo; Paolucci, Paolo; Conte, Pierfranco; Horwitz, Edwin M.			Heterogeneity of Multipotent Mesenchymal Stromal Cells: From Stromal Cells to Stem Cells and Vice Versa	TRANSPLANTATION					8th Beaune Seminar in Transplantation Research	JUN 12-13, 2008	Beaune, FRANCE					Discovered more than 40 years ago, the biological features of multipotent mesenchymal stromal cells (MSC) were progressively compared first with hematopoietic stem cells (HSC) and, more recently, with embryonic stem cells (ESC). Although these comparisons have been crucial in helping to clarify their nature, there is now a robust amount of data indicating that MSC in vitro represent an independent and heterogeneous group of progenitors with distinct self-renewal properties and established differentiation potentials. However, research developments both in humans and animals have progressively revealed the limits that MSC may face in vivo. To recognize these issues and challenge MSC sternness may seem to be a step backward. Nevertheless, it might also represent the beginning of a phase in which the introduction of novel preclinical approaches could provide better characterization and standardization of the in vivo factors influencing cell engraftment and survival, allowing a more successful impact of mesenchymal progenitors in several clinical settings.				Dominici, Massimo/K-8014-2016; Conte, PierFranco/F-7418-2014; PAOLUCCI, PAOLO/D-3507-2012	Conte, PierFranco/0000-0002-5210-5344; Dominici, Massimo/0000-0002-4007-1503; PAOLUCCI, PAOLO/0000-0002-0352-1456												0041-1337	1534-6080				MAY 15	2009	87	9		S			S36	S42		10.1097/TP.0b013e3181a283ee							WOS:000266048200003	19424002					
J	Verardo, R; Piazza, S; Klaric, E; Ciani, Y; Bussadori, G; Marzinotto, S; Mariuzzi, L; Cesselli, D; Beltrami, AP; Mano, M; Itoh, M; Kawaji, H; Lassmann, T; Carninci, P; Hayashizaki, Y; Forrest, ARR; Beltrami, CA; Schneider, C				Verardo, Roberto; Piazza, Silvano; Klaric, Enio; Ciani, Yari; Bussadori, Giulio; Marzinotto, Stefania; Mariuzzi, Laura; Cesselli, Daniela; Beltrami, Antonio P.; Mano, Miguel; Itoh, Masayoshi; Kawaji, Hideya; Lassmann, Timo; Carninci, Piero; Hayashizaki, Yoshihide; Forrest, Alistair R. R.; Beltrami, Carlo A.; Schneider, Claudio		Fantom Consortium	Specific Mesothelial Signature Marks the Heterogeneity of Mesenchymal Stem Cells From High-Grade Serous Ovarian Cancer	STEM CELLS												Mesenchymal stem/stromal cells (MSCs) are the precursors of various cell types that compose both normal and cancer tissue microenvironments. In order to support the widely diversified parenchymal cells and tissue organization, MSCs are characterized by a large degree of heterogeneity, although available analyses of molecular and transcriptional data do not provide clear evidence. We have isolated MSCs from high-grade serous ovarian cancers (HG-SOCs) and various normal tissues (N-MSCs), demonstrated their normal genotype and analyzed their transcriptional activity with respect to the large comprehensive FANTOM5 sample dataset. Our integrative analysis conducted against the extensive panel of primary cells and tissues of the FANTOM5 project allowed us to mark the HG-SOC-MSCs CAGE-seq transcriptional heterogeneity and to identify a cell-type-specific transcriptional activity showing a significant relationship with primary mesothelial cells. Our analysis shows that MSCs isolated from different tissues are highly heterogeneous. The mesothelial-related gene signature identified in this study supports the hypothesis that HG-SOC-MSCs are bona fide representatives of the ovarian district. This finding indicates that HG-SOC-MSCs could actually derive from the coelomic mesothelium, suggesting that they might be linked to the epithelial tumor through common embryological precursors.				Beltrami, Antonio/C-5291-2008; Mano, Miguel/A-4462-2013; Lassmann, Timo/A-8271-2008; Kawaji, Hideya/N-5116-2015; Hayashizaki, Yoshihide/N-6590-2015; Carninci, Piero/K-1568-2014; Itoh, Masayoshi/N-5363-2015	Beltrami, Antonio/0000-0002-0679-2710; Mano, Miguel/0000-0003-1922-4824; Lassmann, Timo/0000-0002-0138-2691; Kawaji, Hideya/0000-0002-0575-0308; Carninci, Piero/0000-0001-7202-7243; Itoh, Masayoshi/0000-0002-1772-318X; Forrest, Alistair/0000-0003-4543-1675; Piazza, Silvano/0000-0002-7156-5434; Cesselli, Daniela/0000-0002-0562-7852; Mariuzzi, Laura/0000-0002-1243-8398; Ciani, Yari/0000-0002-9635-2830; Winteringham, Louise/0000-0002-8117-5069												1066-5099	1549-4918				NOV	2014	32	11					2998	3011		10.1002/stem.1791							WOS:000343314400017	25069783					
J	Sivasubramaniyan, K; Ilas, DC; Harichandan, A; Bos, PK; Santos, DL; de Zwart, P; Koevoet, WJLM; Owston, H; Buhring, HJ; Jones, E; van Osch, GJVM				Sivasubramaniyan, Kavitha; Ilas, Dragos C.; Harichandan, Abhishek; Bos, Pieter K.; Santos, Diego L.; de Zwart, Peter; Koevoet, Wendy J. L. M.; Owston, Heather; Buehring, Hans-Joerg; Jones, Elena; van Osch, Gerjo J. V. M.			Bone Marrow-Harvesting Technique Influences Functional Heterogeneity of Mesenchymal Stem/Stromal Cells and Cartilage Regeneration	AMERICAN JOURNAL OF SPORTS MEDICINE												Background: Connective tissue progenitors (CTPs) from native bone marrow (BM) or their culture-expanded progeny, often referred to as mesenchymal stem/stromal cells, represents a promising strategy for treatment of cartilage injuries. But the cartilage regeneration capacity of these cells remains unpredictable because of cell heterogeneity. Hypothesis: The harvest technique of BM may highly influence stem cell heterogeneity and, thus, cartilage formation because these cells have distinct spatial localization within BM from the same bone. Study Design: Controlled laboratory study. Methods: CTPs obtained from the femur of patients undergoing total hip replacement by 2 harvest techniques-BM aspiration and BM collection-after bone rasping were immunophenotyped by flow cytometry and evaluated for chondrogenic ability. The spatial localization of different CTP subsets in BM was verified by immunohistochemistry. Results: Cells from the BM after rasping were significantly more chondrogenic than the donor-matched aspirate, whereas no notable difference in their osteogenic or adipogenic potential was observed. The authors then assessed whether distinct immunophenotypically defined CTP subsets were responsible for the different chondrogenic capacity. Cells directly isolated from BM after rasping contained a higher percentage (mean, 7.2-fold) of CD45-CD271+CD56+ CTPs as compared with BM aspirates. The presence of this subset in the harvested BM strongly correlated with chondrogenic ability, showing that CD271+CD56+ cells are enriched in chondroprogenitors. Furthermore, evaluation of these CTP subsets in BM revealed that CD271+CD56+ cells were localized in the bone-lining regions whereas CD271+CD56- cells were found in the perivascular regions. Since the iliac crest remains a frequent site of BM harvest for musculoskeletal regeneration, the authors also compared the spatial distribution of these subsets in trabeculae of femoral head and iliac crest and found CD271+CD56+ bone-lining cells in both tissues. Conclusion: Chondrogenically distinct CTP subsets have distinct spatial localization in BM; hence, the harvest technique of BM determines the efficiency of cartilage formation. Clinical Relevance: The harvest technique of BM may be of major importance in determining the clinical success of BM mesenchymal stem/stromal cells in cartilage repair.				Jones, Elena/AAL-2818-2021	Jones, Elena/0000-0001-9365-2283; Ilas, Dragos/0000-0001-6404-6620; Bos, Pieter K/0000-0001-9285-2320												0363-5465	1552-3365				DEC	2018	46	14					3521	3531		10.1177/0363546518804807							WOS:000452315600025	30419181					
